,reviewerID,asin,reviewText,Category,unixReviewTime,overall,sentiment,Clean_Reviews,textblob_polarity,textblob_sentiment,afin_polarity,afin_sentiment,vader_sentiment
0,APV13CM0919JD,B001GXRQW0,"Amazon,
I am shopping for Amazon.com gift cards for Christmas gifts and am really so disappointed that out of five choices there isn't one that says ""Merry Christmas"" or mentions Christmas at all!  I am sure I am not alone in wanting a card that reflects the actual ""holiday"" we are celebrating. On principle, I cannot send a Amazon gift card this Christmas.  What's up with all the Political Correctness?  Bad marketing decision.
Lynn",Giftcard,2008-12-19,1,negative,shopping amazoncom gift cards christmas gifts really disappointed five choices isnt one says merry christmas mentions christmas sure not alone wanting card reflects actual holiday celebrating principle not send gift card christmas whats political correctness bad marketing decision lynn,-0.18999999999999997,negative,3.0,positive,positive
1,A3G8U1G1V082SN,B001GXRQW0,"I got this gift card from a friend, and it was the best! The site has so much to choose from... great gift.",Giftcard,2008-12-17,5,positive,got gift card friend best site much choose great gift,0.6666666666666666,positive,11.0,positive,positive
2,A11T2Q0EVTUWP,B001GXRQW0,"aren't we going to save trees?! :) People who were complaining about paper gift cards can simply buy an electronic gift card via email. It's very convenient and indeed a great gift. I found paper gift cards annoying since you have to always wonder how much money you got left on it. And if you lose it, you lose it. An electronic delivery of the gift card makes it a lot of easier to redeem, you only need to COPY/PASTE the code into your gift certificate balance and it'll be there whenever you want to use it.

I've sent friends electronic gift cards via email for their newborns, for their weddings, and for their housewarmings. :)

Happy holidays",Giftcard,2008-12-17,5,positive,arent going save trees people complaining paper gift cards simply electronic gift card via email convenient indeed great gift found paper gift cards annoying since always wonder much money got left lose lose electronic delivery gift card makes lot easier redeem need copypaste code gift certificate balance itll whenever want ive sent friends electronic gift cards via email newborns weddings housewarmings happy holidays,0.16666666666666666,positive,19.0,positive,positive
3,A9YKGBH3SV22C,B001GXRQW0,"You can always get someone something from Amazon with the safety net that they can return it if they don't like it. But returning things is such a hassle. The card takes care of that--no more returns, no more hassles.",Giftcard,2008-12-17,5,positive,always get someone something safety net return dont but returning things hassle card takes care thatno returns no hassles,0.0,negative,2.0,positive,positive
4,A34WZIHVF3OKOL,B001GXRQW0,"Why take 50 dollars of good money with no limitations, and turn it into Amazon money that can only be used at their site? Where is the benefit?

Also, you spend time and headache buying these types of cards, dealing with any activation issues risking expiration or delivery issues and then you have to keep up with them and keep track of how much you have remaining on the card....

They should at least give a discount for committing your purchasing power to them...",Giftcard,2008-12-17,1,negative,take dollars good money no limitations turn money site benefit also spend time headache buying types cards dealing activation issues risking expiration delivery issues keep keep track much remaining card least give discount committing purchasing power,0.19999999999999996,positive,3.0,positive,positive
5,A221J8EC5HNPY6,B001GXRQW0,Gift Cards are the truly personal gift.  My only problem is after I received it and could have given it away as a gift I got an email from Amazon - whoops we forgot to activate your card.  Be sure your card is good before giving as a gift.  Amazon is very good about notifying and doing refunds but this could leave a procrastinator in the lurch with a bad gift which really will be good when Amazon knows the problem.  Kudos for the quick second card and I've checked it and it's fully loaded.  Thanks!,Giftcard,2008-12-16,3,positive,gift cards truly personal gift problem received could given away gift got email whoops forgot activate card sure card good giving gift good notifying refunds but could leave procrastinator lurch bad gift really good knows problem kudos quick second card ive checked fully loaded thanks,0.27037037037037037,positive,15.0,positive,positive
6,A204VFHD6JWASO,B001GXRQW0,"I am a dedicated Amazon.com shopper, and, am almost always happy. That being said, please note the top of the page should you be an Amazon Prime member. I NEVER thought that Gift Cards from Amazon.com would be subject to additional shipping and handling... The charge to me for two cards? Over $13.",Giftcard,2008-12-14,1,negative,dedicated amazoncom shopper almost always happy said please note top page prime member never thought gift cards amazoncom would subject additional shipping handling charge two cards,0.37777777777777777,positive,10.0,positive,positive
7,A3QN3GMNS7NBIQ,B001GXRQW0,"Bought three $50 gift cards as gifts, received them and mailed them out.  One week letter Amazon emailed me that the cards could not be activated and were no good and they were so sorry.  I contacted Amazon and they could not explain what happened but again they were ""sorry"".  So I had to contact recipients and explain their gift was worthless.  7 days later I'm still waiting for a refund to my credit card.

Don't order these-the same thing could happen to you.  How embarrassing to give these as gifts.",Giftcard,2008-12-11,1,negative,bought three gift cards gifts received mailed one week letter emailed cards could not activated no good sorry contacted could not explain happened but sorry contact recipients explain gift worthless days later im still waiting refund credit card dont order thesethe thing could happen embarrassing give gifts,-0.43000000000000005,negative,0.0,negative,negative
8,A1BXZIDZOMBAV2,B001GXRQW0,At this time of year Amazon gift cards are turning out to be the best gifts to give and I'm glad now that I can buy them by putting them in my cart with other products instead of having to order them separately.,Giftcard,2008-12-10,5,positive,time year gift cards turning best gifts give im glad putting cart products instead order separately,0.75,positive,8.0,positive,positive
9,AJ7D8N3Z1Q7MK,B001GXRQW0,"I bought 8 gift cards to give out as presents.  I was totally surprised that they came sealed inside the Amazon envelopes.  I cannot sign the cards without opening therefore damaging the envelopes.  I asked Amazon to ship me replacement envelopes but they are not able to do that as in the following response.

""Thank you for contacting us at Amazon.com. I'm sorry to hear that the gift card envelopes were damaged when opening it. I do understand your concern in this regard. Unfortunately, we are unable to replace the envelopes only as we do not have any stock of additional gift card envelopes. Hope you can understand our limitations in this matter.""

Please do not buy these cards.",Giftcard,2008-12-06,1,negative,bought gift cards give presents totally surprised came sealed inside envelopes not sign cards without opening therefore damaging envelopes asked ship replacement envelopes but not able following response thank contacting us amazoncom im sorry hear gift card envelopes damaged opening understand concern regard unfortunately unable replace envelopes not stock additional gift card envelopes hope understand limitations matter please not cards,-0.22999999999999998,negative,3.0,positive,positive
