,reviewerID,asin,reviewText,Category,unixReviewTime,overall,sentiment,Clean_Reviews,textblob_polarity,textblob_sentiment,afin_polarity,afin_sentiment,vader_sentiment
0,A240ORQ2LF9LUI,0077613252,The materials arrived early and were in excellent condition.  However for the money spent they really should've come with a binder and not just loose leaf.,Softwares,2014-03-11,4,positive,materials early excellent condition however money spent really shouldve come binder not loose leaf,0.2476923076923077,positive,0.0,negative,positive
1,A1YCCU0YRLS0FE,0077613252,"I am really enjoying this book with the worksheets that make you review your goals, what to do when you do not make it, it reminds me  of my human sexuality classwork.",Softwares,2014-02-23,4,positive,really enjoying book worksheets make review goals not make reminds human sexuality classwork,0.25,positive,2.0,positive,positive
2,A1BJHRQDYVAY2J,0077613252,"IF YOU ARE TAKING THIS CLASS DON""T WASTE YOUR MONEY ON THIS SO CALLED BOOK! $140.00 FOR A ""BOOK"" THAT ISIN'T EVEN BOUND LOOSE LEAFS, THAT I HAD TO PROVIDE MY OWN BINDER FOR. TURNS OUT YOU CAN BUY ACCESS TO THE BOOK AT MCGRAW HILL CONNECT CORE FOR $70.00

THIS BOOK IS A COMPLETE WASTE OF MONEY!",Softwares,2014-02-17,1,negative,taking class dont waste money called book book isint even bound loose leafs provide binder turns access book mcgraw hill connect core book complete waste money,-0.09423076923076923,negative,-5.0,negative,negative
3,APRDVZ6QBIQXT,0077613252,This book was missing pages!!! Important pages. I couldn't answer some test questions because of it!! I have never had this happen before.,Softwares,2014-02-17,3,positive,book missing pages important pages couldnt answer test questions never happen,0.1,positive,0.0,negative,negative
4,A2JZTTBSLS1QXV,0077775473,"I have used LearnSmart and can officially say that this is an amazing study tool that quickly and simply adapts to your style of learning. You can access it at anytime and it is on the go! Once you start using LearnSmart you will quickly realize that this is the best way to learn and study.

I am a business student and I did not use LearnSmart for my Accounting I class, however, I did use it for my Accounting II class. The grade difference from Accounting I to Accounting II was a whole letter grade... thanks to LearnSmart!

Every college student should definitely check it out!",Softwares,2013-10-14,5,positive,learnsmart officially say amazing study tool quickly simply adapts style learning access anytime go start using learnsmart quickly realize best way learn study business student not learnsmart accounting class however accounting ii class grade difference accounting accounting ii whole letter grade thanks learnsmart every college student definitely check,0.33333333333333337,positive,9.0,positive,positive
5,AGN3T5ERYJN5A,0132147556,"Strong backgroung, good read, quite up to date. It takes a holistic approach to the subject. Lack of references is a bit surprising.
Jorge",Softwares,2011-08-15,4,positive,strong backgroung good read quite date takes holistic approach subject lack references bit surprising jorge,0.41666666666666663,positive,3.0,positive,positive
6,AHPK2GD0SQC59,0132147556,"If you live on Mars and never heard of the internet, this is a good book to have.",Softwares,2010-10-09,3,positive,live mars never heard internet good book,0.41818181818181815,positive,3.0,positive,negative
7,A35UC8LHA6TILH,0132147556,i got this book on amazon and it ended up saving me a lot of money.  It was in great condition and has been extremely useful to me.,Softwares,2010-10-03,5,positive,got book ended saving lot money great condition extremely useful,0.55,positive,5.0,positive,positive
8,A2IH0AJPR7IWG3,0132147556,I was very happy with this purchase because the shipment was super fast.  Thanks,Softwares,2010-10-03,5,positive,happy purchase shipment super fast thanks,0.3833333333333333,positive,8.0,positive,positive
9,AL87GELNJGOH3,0132147556,Recieved in a timely manner- book in great condition. Some markings- but ledgible. Will be ordering again from this site for my school books- saved over $200.,Softwares,2010-05-23,5,positive,recieved timely manner book great condition markings but ledgible ordering site school books saved,0.8,positive,5.0,positive,positive
